Data Source,World Development Indicators,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.278786204,1.325615164,1.297935846,1.295817928,1.326793363,1.341152672,1.253876902,1.301554775,1.349908641,1.369359766,
Central Europe and the Baltics,CEB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Switzerland,CHE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.962381328,0.985394394,0.984691667,0.977891667,0.993709167,0.938965,0.913845833,0.9548325,0.89849,0.880440833,
Channel Islands,CHI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.654545479,0.740634464,0.776976682,0.74953154,0.78344511,0.779999577,0.727064945,0.811301716,0.804538907,0.782414581,
Chile,CHL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,654.1240843,676.957736,648.8337926,641.2768131,702.8974226,792.7272061,758.9553787,873.3141895,840.0665267,943.5721674,
China,CHN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.227488673,6.644477829,6.758755086,6.615957177,6.90838501,6.900767269,6.44897518,6.737158112,7.083998423,7.197491108,
Cote d'Ivoire,CIV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
Cameroon,CMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
"Congo, Dem. Rep.",COD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,925.9849613,1010.302757,1464.417932,1622.523502,1647.760127,1851.122162,1989.391471,2006.708219,2340.035704,,
"Congo, Rep.",COG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
Colombia,COL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2741.781667,3055.255,2951.486911,2955.70397,3281.622194,3693.275833,3744.244167,4256.194167,4325.955,4074.434167,
Comoros,COM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,443.4087735,444.4542113,435.4925622,416.5848438,439.4631103,430.7209122,415.9558491,467.1842612,454.9912367,454.5238613,
Cabo Verde,CPV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,99.38569354,99.68811364,97.80693777,93.41357891,98.49517859,96.79574279,93.21809241,104.8630658,101.8048125,101.9220108,
Costa Rica,CRI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,534.56577,544.7393672,567.5130903,576.9725012,587.2945957,584.900855,620.78472,647.1358176,544.0507755,515.1097719,
Caribbean small states,CSS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Cuba,CUB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Curacao,CUW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,
Cayman Islands,CYM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,
Cyprus,CYP,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Czechia,CZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,24.59875,24.43991667,23.37633333,21.72991667,22.93225,23.21025,21.67816667,23.357,22.19808333,23.21683333,
Germany,DEU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Djibouti,DJI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,177.721,
Dominica,DMA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
Denmark,DNK,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.727906831,6.731718257,6.602893466,6.314618787,6.669446615,6.542152204,6.287113083,7.076151863,6.889702586,6.894481417,
Dominican Republic,DOM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,45.04549907,46.06444394,47.5343582,49.50999286,51.29485833,56.52453333,57.22111667,55.14099167,56.1576,59.56513333,
